S50.00XA@Contusion of unspecified elbow, initial encounter
S52.579D@Oth intartic fx low end unsp rad, 7thD
S52.579E@Oth intartic fx low end unsp rad, 7thE
S52.579F@Oth intartic fx low end unsp rad, 7thF
S52.579G@Oth intartic fx low end unsp rad, 7thG
S52.579H@Oth intartic fx low end unsp rad, 7thH
S52.579J@Oth intartic fx low end unsp rad, 7thJ
S52.579K@Oth intartic fx low end unsp rad, 7thK
S52.579M@Oth intartic fx low end unsp rad, 7thM
S52.579N@Oth intartic fx low end unsp rad, 7thN
S52.579P@Oth intartic fx low end unsp rad, 7thP
S52.579Q@Oth intartic fx low end unsp rad, 7thQ
S52.579R@Oth intartic fx low end unsp rad, 7thR
S52.579S@Oth intartic fracture of lower end of unsp radius, sequela
S52.591A@Oth fractures of lower end of right radius, init for clos fx
S52.591B@Oth fx of lower end of r radius, init for opn fx type I/2
S52.591C@Oth fx of lower end of r radius, init for opn fx type 3A/B/C
S52.591D@Oth fx of lower end r radius, subs for clos fx w routn heal
S52.591E@Oth fx of low end r rad, 7thE
S52.591F@Oth fx of low end r rad, 7thF
S52.591G@Oth fx of lower end r radius, subs for clos fx w delay heal
S52.591H@Oth fx of low end r rad, 7thH
S52.591J@Oth fx of low end r rad, 7thJ
S52.591K@Oth fx of lower end of r radius, subs for clos fx w nonunion
S52.591M@Oth fx of low end r rad, subs for opn fx type I/2 w nonunion
S52.591N@Oth fx of low end r rad, 7thN
S52.591P@Oth fx of lower end of r radius, subs for clos fx w malunion
S52.591Q@Oth fx of low end r rad, subs for opn fx type I/2 w malunion
S52.591R@Oth fx of low end r rad, 7thR
S52.591S@Other fractures of lower end of right radius, sequela
S52.592A@Oth fractures of lower end of left radius, init for clos fx
S52.592B@Oth fx of lower end of left radius, init for opn fx type I/2
S52.592C@Oth fx of lower end left radius, init for opn fx type 3A/B/C
S52.592D@Oth fx of lower end left rad, subs for clos fx w routn heal
S52.592E@Oth fx of low end l rad, 7thE
S52.592F@Oth fx of low end l rad, 7thF
S52.592G@Oth fx of lower end left rad, subs for clos fx w delay heal
S52.592H@Oth fx of low end l rad, 7thH
S52.592J@Oth fx of low end l rad, 7thJ
S52.592K@Oth fx of lower end left radius, subs for clos fx w nonunion
S52.592M@Oth fx of low end l rad, subs for opn fx type I/2 w nonunion
S52.592N@Oth fx of low end l rad, 7thN
S52.592P@Oth fx of lower end left radius, subs for clos fx w malunion
S52.592Q@Oth fx of low end l rad, subs for opn fx type I/2 w malunion
S52.592R@Oth fx of low end l rad, 7thR
S52.592S@Other fractures of lower end of left radius, sequela
S52.599A@Oth fractures of lower end of unsp radius, init for clos fx
S52.599B@Oth fx of lower end of unsp radius, init for opn fx type I/2
S52.599C@Oth fx of lower end unsp radius, init for opn fx type 3A/B/C
S52.599D@Oth fx of lower end unsp rad, subs for clos fx w routn heal
S52.599E@Oth fx of low end unsp rad, 7thE
S52.599F@Oth fx of low end unsp rad, 7thF
S52.599G@Oth fx of lower end unsp rad, subs for clos fx w delay heal
S52.599H@Oth fx of low end unsp rad, 7thH
S52.599J@Oth fx of low end unsp rad, 7thJ
S52.599K@Oth fx of lower end unsp radius, subs for clos fx w nonunion
S52.599M@Oth fx of low end unsp rad, 7thM
S52.599N@Oth fx of low end unsp rad, 7thN
S52.599P@Oth fx of lower end unsp radius, subs for clos fx w malunion
S52.599Q@Oth fx of low end unsp rad, 7thQ
S52.599R@Oth fx of low end unsp rad, 7thR
S52.599S@Other fractures of lower end of unspecified radius, sequela
S52.601A@Unsp fracture of lower end of right ulna, init for clos fx
S52.601B@Unsp fx lower end of right ulna, init for opn fx type I/2
S52.601C@Unsp fx lower end of right ulna, init for opn fx type 3A/B/C
S52.601D@Unsp fx lower end of r ulna, subs for clos fx w routn heal
S52.601E@Unsp fx low end r ulna, 7thE
S52.601F@Unsp fx low end r ulna, 7thF
S52.601G@Unsp fx lower end of r ulna, subs for clos fx w delay heal
S52.601H@Unsp fx low end r ulna, 7thH
S52.601J@Unsp fx low end r ulna, 7thJ
S52.601K@Unsp fx lower end of right ulna, subs for clos fx w nonunion
S52.601M@Unsp fx low end r ulna, subs for opn fx type I/2 w nonunion
S52.601N@Unsp fx low end r ulna, 7thN
S52.601P@Unsp fx lower end of right ulna, subs for clos fx w malunion
S52.601Q@Unsp fx low end r ulna, subs for opn fx type I/2 w malunion
S52.601R@Unsp fx low end r ulna, 7thR
S52.601S@Unspecified fracture of lower end of right ulna, sequela
S52.602A@Unsp fracture of lower end of left ulna, init for clos fx
S52.602B@Unsp fx lower end of left ulna, init for opn fx type I/2
S52.602C@Unsp fx lower end of left ulna, init for opn fx type 3A/B/C
S52.602D@Unsp fx lower end of l ulna, subs for clos fx w routn heal
S52.602E@Unsp fx low end l ulna, 7thE
S52.602F@Unsp fx low end l ulna, 7thF
S52.602G@Unsp fx lower end of l ulna, subs for clos fx w delay heal
S52.602H@Unsp fx low end l ulna, 7thH
S52.602J@Unsp fx low end l ulna, 7thJ
S52.602K@Unsp fx lower end of left ulna, subs for clos fx w nonunion
S52.602M@Unsp fx low end l ulna, subs for opn fx type I/2 w nonunion
S52.602N@Unsp fx low end l ulna, 7thN
S52.602P@Unsp fx lower end of left ulna, subs for clos fx w malunion
S52.602Q@Unsp fx low end l ulna, subs for opn fx type I/2 w malunion
S52.602R@Unsp fx low end l ulna, 7thR
S52.602S@Unspecified fracture of lower end of left ulna, sequela
S52.609A@Unsp fracture of lower end of unsp ulna, init for clos fx
S52.609B@Unsp fx lower end of unsp ulna, init for opn fx type I/2
S52.609C@Unsp fx lower end of unsp ulna, init for opn fx type 3A/B/C
S52.609D@Unsp fx lower end unsp ulna, subs for clos fx w routn heal
S52.609E@Unsp fx low end unsp ulna, 7thE
S52.609F@Unsp fx low end unsp ulna, 7thF
S52.609G@Unsp fx lower end unsp ulna, subs for clos fx w delay heal
S52.609H@Unsp fx low end unsp ulna, 7thH
S52.609J@Unsp fx low end unsp ulna, 7thJ
S52.609K@Unsp fx lower end of unsp ulna, subs for clos fx w nonunion
S52.609M@Unsp fx low end unsp ulna, 7thM
S52.609N@Unsp fx low end unsp ulna, 7thN
S52.609P@Unsp fx lower end of unsp ulna, subs for clos fx w malunion
S52.609Q@Unsp fx low end unsp ulna, 7thQ
S52.609R@Unsp fx low end unsp ulna, 7thR
S52.609S@Unsp fracture of lower end of unspecified ulna, sequela
S52.611A@Disp fx of right ulna styloid process, init for clos fx
S52.611B@Disp fx of r ulna styloid process, init for opn fx type I/2
S52.611C@Disp fx of r ulna styloid pro, init for opn fx type 3A/B/C
S52.611D@Disp fx of r ulna styloid pro, subs for clos fx w routn heal
S52.611E@Disp fx of r ulna styloid pro, 7thE
S52.611F@Disp fx of r ulna styloid pro, 7thF
S52.611G@Disp fx of r ulna styloid pro, subs for clos fx w delay heal
S52.611H@Disp fx of r ulna styloid pro, 7thH
S52.611J@Disp fx of r ulna styloid pro, 7thJ
S52.611K@Disp fx of r ulna styloid pro, subs for clos fx w nonunion
S52.611M@Disp fx of r ulna styloid pro, 7thM
S52.611N@Disp fx of r ulna styloid pro, 7thN
S52.611P@Disp fx of r ulna styloid pro, subs for clos fx w malunion
S52.611Q@Disp fx of r ulna styloid pro, 7thQ
S52.611R@Disp fx of r ulna styloid pro, 7thR
S52.611S@Displaced fracture of right ulna styloid process, sequela
S52.612A@Disp fx of left ulna styloid process, init for clos fx
S52.612B@Disp fx of l ulna styloid process, init for opn fx type I/2
S52.612C@Disp fx of l ulna styloid pro, init for opn fx type 3A/B/C
S52.612D@Disp fx of l ulna styloid pro, subs for clos fx w routn heal
S52.612E@Disp fx of l ulna styloid pro, 7thE
S52.612F@Disp fx of l ulna styloid pro, 7thF
S52.612G@Disp fx of l ulna styloid pro, subs for clos fx w delay heal
S52.612H@Disp fx of l ulna styloid pro, 7thH
S52.612J@Disp fx of l ulna styloid pro, 7thJ
S52.612K@Disp fx of l ulna styloid pro, subs for clos fx w nonunion
S52.612M@Disp fx of l ulna styloid pro, 7thM
S52.612N@Disp fx of l ulna styloid pro, 7thN
S52.612P@Disp fx of l ulna styloid pro, subs for clos fx w malunion
S52.612Q@Disp fx of l ulna styloid pro, 7thQ
S52.612R@Disp fx of l ulna styloid pro, 7thR
S52.612S@Displaced fracture of left ulna styloid process, sequela
S52.613A@Disp fx of unsp ulna styloid process, init for clos fx
S52.613B@Disp fx of unsp ulna styloid pro, init for opn fx type I/2
S52.613C@Disp fx of unsp ulna styloid pro, 7thC
S52.613D@Disp fx of unsp ulna styloid pro, 7thD
S52.613E@Disp fx of unsp ulna styloid pro, 7thE
S52.613F@Disp fx of unsp ulna styloid pro, 7thF
S52.613G@Disp fx of unsp ulna styloid pro, 7thG
S52.613H@Disp fx of unsp ulna styloid pro, 7thH
S52.613J@Disp fx of unsp ulna styloid pro, 7thJ
S52.613K@Disp fx of unsp ulna styloid pro, 7thK
S52.613M@Disp fx of unsp ulna styloid pro, 7thM
S52.613N@Disp fx of unsp ulna styloid pro, 7thN
S52.613P@Disp fx of unsp ulna styloid pro, 7thP
S52.613Q@Disp fx of unsp ulna styloid pro, 7thQ
S52.613R@Disp fx of unsp ulna styloid pro, 7thR
S52.613S@Disp fx of unspecified ulna styloid process, sequela
S52.614A@Nondisp fx of right ulna styloid process, init for clos fx
S52.614B@Nondisp fx of r ulna styloid pro, init for opn fx type I/2
S52.614C@Nondisp fx of r ulna styloid pro, 7thC
S52.614D@Nondisp fx of r ulna styloid pro, 7thD
S52.614E@Nondisp fx of r ulna styloid pro, 7thE
S52.614F@Nondisp fx of r ulna styloid pro, 7thF
S52.614G@Nondisp fx of r ulna styloid pro, 7thG
S52.614H@Nondisp fx of r ulna styloid pro, 7thH
S52.614J@Nondisp fx of r ulna styloid pro, 7thJ
S52.614K@Nondisp fx of r ulna styloid pro, 7thK
S52.614M@Nondisp fx of r ulna styloid pro, 7thM
S52.614N@Nondisp fx of r ulna styloid pro, 7thN
S52.614P@Nondisp fx of r ulna styloid pro, 7thP
S52.614Q@Nondisp fx of r ulna styloid pro, 7thQ
S52.614R@Nondisp fx of r ulna styloid pro, 7thR
S52.614S@Nondisplaced fracture of right ulna styloid process, sequela
S52.615A@Nondisp fx of left ulna styloid process, init for clos fx
S52.615B@Nondisp fx of l ulna styloid pro, init for opn fx type I/2
S52.615C@Nondisp fx of l ulna styloid pro, 7thC
S52.615D@Nondisp fx of l ulna styloid pro, 7thD
S52.615E@Nondisp fx of l ulna styloid pro, 7thE
S52.615F@Nondisp fx of l ulna styloid pro, 7thF
S52.615G@Nondisp fx of l ulna styloid pro, 7thG
S52.615H@Nondisp fx of l ulna styloid pro, 7thH
S52.615J@Nondisp fx of l ulna styloid pro, 7thJ
S52.615K@Nondisp fx of l ulna styloid pro, 7thK
S52.615M@Nondisp fx of l ulna styloid pro, 7thM
S52.615N@Nondisp fx of l ulna styloid pro, 7thN
S52.615P@Nondisp fx of l ulna styloid pro, 7thP
S52.615Q@Nondisp fx of l ulna styloid pro, 7thQ
S52.615R@Nondisp fx of l ulna styloid pro, 7thR
S52.615S@Nondisplaced fracture of left ulna styloid process, sequela
S52.616A@Nondisp fx of unsp ulna styloid process, init for clos fx
S52.616B@Nondisp fx of unsp ulna styloid pro, 7thB
S52.616C@Nondisp fx of unsp ulna styloid pro, 7thC
S52.616D@Nondisp fx of unsp ulna styloid pro, 7thD
S52.616E@Nondisp fx of unsp ulna styloid pro, 7thE
S52.616F@Nondisp fx of unsp ulna styloid pro, 7thF
S52.616G@Nondisp fx of unsp ulna styloid pro, 7thG
S52.616H@Nondisp fx of unsp ulna styloid pro, 7thH
S52.616J@Nondisp fx of unsp ulna styloid pro, 7thJ
S52.616K@Nondisp fx of unsp ulna styloid pro, 7thK
S52.616M@Nondisp fx of unsp ulna styloid pro, 7thM
S52.616N@Nondisp fx of unsp ulna styloid pro, 7thN
S52.616P@Nondisp fx of unsp ulna styloid pro, 7thP
S52.616Q@Nondisp fx of unsp ulna styloid pro, 7thQ
S52.616R@Nondisp fx of unsp ulna styloid pro, 7thR
S52.616S@Nondisp fx of unspecified ulna styloid process, sequela
S52.621A@Torus fracture of lower end of right ulna, init for clos fx
S52.621D@Torus fx lower end of right ulna, subs for fx w routn heal
S52.621G@Torus fx lower end of right ulna, subs for fx w delay heal
S52.621K@Torus fx lower end of right ulna, subs for fx w nonunion
S52.621P@Torus fx lower end of right ulna, subs for fx w malunion
S52.621S@Torus fracture of lower end of right ulna, sequela
S52.622A@Torus fracture of lower end of left ulna, init for clos fx
S52.622D@Torus fx lower end of left ulna, subs for fx w routn heal
S52.622G@Torus fx lower end of left ulna, subs for fx w delay heal
S52.622K@Torus fx lower end of left ulna, subs for fx w nonunion
S52.622P@Torus fx lower end of left ulna, subs for fx w malunion
S52.622S@Torus fracture of lower end of left ulna, sequela
S52.629A@Torus fracture of lower end of unsp ulna, init for clos fx
S52.629D@Torus fx lower end of unsp ulna, subs for fx w routn heal
S52.629G@Torus fx lower end of unsp ulna, subs for fx w delay heal
S52.629K@Torus fx lower end of unsp ulna, subs for fx w nonunion
S52.629P@Torus fx lower end of unsp ulna, subs for fx w malunion
S52.629S@Torus fracture of lower end of unspecified ulna, sequela
S52.691A@Oth fracture of lower end of right ulna, init for clos fx
S52.691B@Oth fx lower end of right ulna, init for opn fx type I/2
S52.691C@Oth fx lower end of right ulna, init for opn fx type 3A/B/C
S52.691D@Oth fx lower end of r ulna, subs for clos fx w routn heal
S52.691E@Oth fx low end r ulna, subs for opn fx type I/2 w routn heal
S52.691F@Oth fx low end r ulna, 7thF
S52.691G@Oth fx lower end of r ulna, subs for clos fx w delay heal
S52.691H@Oth fx low end r ulna, subs for opn fx type I/2 w delay heal
S52.691J@Oth fx low end r ulna, 7thJ
S52.691K@Oth fx lower end of right ulna, subs for clos fx w nonunion
S52.691M@Oth fx lower end r ulna, subs for opn fx type I/2 w nonunion
S52.691N@Oth fx low end r ulna, 7thN
S52.691P@Oth fx lower end of right ulna, subs for clos fx w malunion
S52.691Q@Oth fx lower end r ulna, subs for opn fx type I/2 w malunion
S52.691R@Oth fx low end r ulna, 7thR
S52.691S@Other fracture of lower end of right ulna, sequela
S52.692A@Oth fracture of lower end of left ulna, init for clos fx
S52.692B@Oth fx lower end of left ulna, init for opn fx type I/2
S52.692C@Oth fx lower end of left ulna, init for opn fx type 3A/B/C
S52.692D@Oth fx lower end of left ulna, subs for clos fx w routn heal
S52.692E@Oth fx low end l ulna, subs for opn fx type I/2 w routn heal
S52.692F@Oth fx low end l ulna, 7thF
S52.692G@Oth fx lower end of left ulna, subs for clos fx w delay heal
S52.692H@Oth fx low end l ulna, subs for opn fx type I/2 w delay heal
S52.692J@Oth fx low end l ulna, 7thJ
S52.692K@Oth fx lower end of left ulna, subs for clos fx w nonunion
S52.692M@Oth fx lower end l ulna, subs for opn fx type I/2 w nonunion
S52.692N@Oth fx low end l ulna, 7thN
S52.692P@Oth fx lower end of left ulna, subs for clos fx w malunion
S52.692Q@Oth fx lower end l ulna, subs for opn fx type I/2 w malunion
S52.692R@Oth fx low end l ulna, 7thR
S52.692S@Other fracture of lower end of left ulna, sequela
S52.699A@Oth fracture of lower end of unsp ulna, init for clos fx
S52.699B@Oth fx lower end of unsp ulna, init for opn fx type I/2
S52.699C@Oth fx lower end of unsp ulna, init for opn fx type 3A/B/C
S52.699D@Oth fx lower end of unsp ulna, subs for clos fx w routn heal
S52.699E@Oth fx low end unsp ulna, 7thE
S52.699F@Oth fx low end unsp ulna, 7thF
S52.699G@Oth fx lower end of unsp ulna, subs for clos fx w delay heal
S52.699H@Oth fx low end unsp ulna, 7thH
S52.699J@Oth fx low end unsp ulna, 7thJ
S52.699K@Oth fx lower end of unsp ulna, subs for clos fx w nonunion
S52.699M@Oth fx low end unsp ulna, 7thM
S52.699N@Oth fx low end unsp ulna, 7thN
S52.699P@Oth fx lower end of unsp ulna, subs for clos fx w malunion
S52.699Q@Oth fx low end unsp ulna, 7thQ
S52.699R@Oth fx low end unsp ulna, 7thR
S52.699S@Other fracture of lower end of unspecified ulna, sequela
S52.90XA@Unsp fracture of unsp forearm, init for clos fx
S52.90XB@Unsp fracture of unsp forearm, init for opn fx type I/2
S52.90XC@Unsp fracture of unsp forearm, init for opn fx type 3A/B/C
S52.90XD@Unsp fracture of unsp forearm, subs for clos fx w routn heal
S52.90XE@Unsp fx unsp forearm, subs for opn fx type I/2 w routn heal
S52.90XF@Unsp fx unsp forearm, 7thF
S52.90XG@Unsp fracture of unsp forearm, subs for clos fx w delay heal
S52.90XH@Unsp fx unsp forearm, subs for opn fx type I/2 w delay heal
S52.90XJ@Unsp fx unsp forearm, 7thJ
S52.90XK@Unsp fracture of unsp forearm, subs for clos fx w nonunion
S52.90XM@Unsp fx unsp forearm, subs for opn fx type I/2 w nonunion
S52.90XN@Unsp fx unsp forearm, subs for opn fx type 3A/B/C w nonunion
S52.90XP@Unsp fracture of unsp forearm, subs for clos fx w malunion
S52.90XQ@Unsp fx unsp forearm, subs for opn fx type I/2 w malunion
S52.90XR@Unsp fx unsp forearm, subs for opn fx type 3A/B/C w malunion
S52.90XS@Unspecified fracture of unspecified forearm, sequela
S52.91XA@Unsp fracture of right forearm, init for clos fx
S52.91XB@Unsp fracture of right forearm, init for opn fx type I/2
S52.91XC@Unsp fracture of right forearm, init for opn fx type 3A/B/C
S52.91XD@Unsp fracture of r forearm, subs for clos fx w routn heal
S52.91XE@Unsp fx r forearm, subs for opn fx type I/2 w routn heal
S52.91XF@Unsp fx r forearm, subs for opn fx type 3A/B/C w routn heal
S52.91XG@Unsp fracture of r forearm, subs for clos fx w delay heal
S52.91XH@Unsp fx r forearm, subs for opn fx type I/2 w delay heal
S52.91XJ@Unsp fx r forearm, subs for opn fx type 3A/B/C w delay heal
S52.91XK@Unsp fracture of right forearm, subs for clos fx w nonunion
S52.91XM@Unsp fx r forearm, subs for opn fx type I/2 w nonunion
S52.91XN@Unsp fx r forearm, subs for opn fx type 3A/B/C w nonunion
S52.91XP@Unsp fracture of right forearm, subs for clos fx w malunion
S52.91XQ@Unsp fx r forearm, subs for opn fx type I/2 w malunion
S52.91XR@Unsp fx r forearm, subs for opn fx type 3A/B/C w malunion
S52.91XS@Unspecified fracture of right forearm, sequela
S52.92XA@Unsp fracture of left forearm, init for clos fx
S52.92XB@Unsp fracture of left forearm, init for opn fx type I/2
S52.92XC@Unsp fracture of left forearm, init for opn fx type 3A/B/C
S52.92XD@Unsp fracture of left forearm, subs for clos fx w routn heal
S52.92XE@Unsp fx l forearm, subs for opn fx type I/2 w routn heal
S52.92XF@Unsp fx l forearm, subs for opn fx type 3A/B/C w routn heal
S52.92XG@Unsp fracture of left forearm, subs for clos fx w delay heal
