S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S92.515G@Nondisp fx of prox phalanx of l less toe(s), 7thG
S92.515K@Nondisp fx of prox phalanx of l less toe(s), 7thK
S92.515P@Nondisp fx of prox phalanx of l less toe(s), 7thP
S92.515S@Nondisp fx of prox phalanx of left lesser toe(s), sequela
S92.516A@Nondisp fx of proximal phalanx of unsp lesser toe(s), init
S92.516B@Nondisp fx of prox phalanx of unsp less toe(s), 7thB
S92.516D@Nondisp fx of prox phalanx of unsp less toe(s), 7thD
S92.516G@Nondisp fx of prox phalanx of unsp less toe(s), 7thG
S92.516K@Nondisp fx of prox phalanx of unsp less toe(s), 7thK
S92.516P@Nondisp fx of prox phalanx of unsp less toe(s), 7thP
S92.516S@Nondisp fx of prox phalanx of unsp lesser toe(s), sequela
S92.521A@Disp fx of medial phalanx of right lesser toe(s), init
S92.521B@Disp fx of med phalanx of right less toe(s), init for opn fx
S92.521D@Disp fx of med phalanx of r less toe(s), 7thD
S92.521G@Disp fx of med phalanx of r less toe(s), 7thG
S92.521K@Disp fx of med phalanx of r less toe(s), 7thK
S92.521P@Disp fx of med phalanx of r less toe(s), 7thP
S92.521S@Disp fx of medial phalanx of right lesser toe(s), sequela
S92.522A@Disp fx of medial phalanx of left lesser toe(s), init
S92.522B@Disp fx of med phalanx of left less toe(s), init for opn fx
S92.522D@Disp fx of med phalanx of l less toe(s), 7thD
S92.522G@Disp fx of med phalanx of l less toe(s), 7thG
S92.522K@Disp fx of med phalanx of l less toe(s), 7thK
S92.522P@Disp fx of med phalanx of l less toe(s), 7thP
S92.522S@Disp fx of medial phalanx of left lesser toe(s), sequela
S92.523A@Disp fx of medial phalanx of unsp lesser toe(s), init
S92.523B@Disp fx of med phalanx of unsp less toe(s), init for opn fx
S92.523D@Disp fx of med phalanx of unsp less toe(s), 7thD
S92.523G@Disp fx of med phalanx of unsp less toe(s), 7thG
S92.523K@Disp fx of med phalanx of unsp less toe(s), 7thK
S92.523P@Disp fx of med phalanx of unsp less toe(s), 7thP
S92.523S@Disp fx of medial phalanx of unsp lesser toe(s), sequela
S92.524A@Nondisp fx of medial phalanx of right lesser toe(s), init
S92.524B@Nondisp fx of med phalanx of r less toe(s), init for opn fx
S92.524D@Nondisp fx of med phalanx of r less toe(s), 7thD
S92.524G@Nondisp fx of med phalanx of r less toe(s), 7thG
S92.524K@Nondisp fx of med phalanx of r less toe(s), 7thK
S92.524P@Nondisp fx of med phalanx of r less toe(s), 7thP
S92.524S@Nondisp fx of medial phalanx of right lesser toe(s), sequela
S92.525A@Nondisp fx of medial phalanx of left lesser toe(s), init
S92.525B@Nondisp fx of med phalanx of l less toe(s), init for opn fx
S92.525D@Nondisp fx of med phalanx of l less toe(s), 7thD
S92.525G@Nondisp fx of med phalanx of l less toe(s), 7thG
S92.525K@Nondisp fx of med phalanx of l less toe(s), 7thK
S92.525P@Nondisp fx of med phalanx of l less toe(s), 7thP
S92.525S@Nondisp fx of medial phalanx of left lesser toe(s), sequela
S92.526A@Nondisp fx of medial phalanx of unsp lesser toe(s), init
S92.526B@Nondisp fx of med phalanx of unsp less toe(s), 7thB
S92.526D@Nondisp fx of med phalanx of unsp less toe(s), 7thD
S92.526G@Nondisp fx of med phalanx of unsp less toe(s), 7thG
S92.526K@Nondisp fx of med phalanx of unsp less toe(s), 7thK
S92.526P@Nondisp fx of med phalanx of unsp less toe(s), 7thP
S92.526S@Nondisp fx of medial phalanx of unsp lesser toe(s), sequela
S92.531A@Disp fx of distal phalanx of right lesser toe(s), init
S92.531B@Disp fx of dist phalanx of r less toe(s), init for opn fx
S92.531D@Disp fx of dist phalanx of r less toe(s), 7thD
S92.531G@Disp fx of dist phalanx of r less toe(s), 7thG
S92.531K@Disp fx of dist phalanx of r less toe(s), 7thK
S92.531P@Disp fx of dist phalanx of r less toe(s), 7thP
S92.531S@Disp fx of distal phalanx of right lesser toe(s), sequela
S92.532A@Disp fx of distal phalanx of left lesser toe(s), init
S92.532B@Disp fx of dist phalanx of left less toe(s), init for opn fx
S92.532D@Disp fx of dist phalanx of l less toe(s), 7thD
S92.532G@Disp fx of dist phalanx of l less toe(s), 7thG
S92.532K@Disp fx of dist phalanx of l less toe(s), 7thK
S92.532P@Disp fx of dist phalanx of l less toe(s), 7thP
S92.532S@Disp fx of distal phalanx of left lesser toe(s), sequela
S92.533A@Disp fx of distal phalanx of unsp lesser toe(s), init
S92.533B@Disp fx of dist phalanx of unsp less toe(s), init for opn fx
S92.533D@Disp fx of dist phalanx of unsp less toe(s), 7thD
S92.533G@Disp fx of dist phalanx of unsp less toe(s), 7thG
S92.533K@Disp fx of dist phalanx of unsp less toe(s), 7thK
S92.533P@Disp fx of dist phalanx of unsp less toe(s), 7thP
S92.533S@Disp fx of distal phalanx of unsp lesser toe(s), sequela
S92.534A@Nondisp fx of distal phalanx of right lesser toe(s), init
S92.534B@Nondisp fx of dist phalanx of r less toe(s), init for opn fx
S92.534D@Nondisp fx of dist phalanx of r less toe(s), 7thD
S92.534G@Nondisp fx of dist phalanx of r less toe(s), 7thG
S92.534K@Nondisp fx of dist phalanx of r less toe(s), 7thK
S92.534P@Nondisp fx of dist phalanx of r less toe(s), 7thP
S92.534S@Nondisp fx of distal phalanx of right lesser toe(s), sequela
S92.535A@Nondisp fx of distal phalanx of left lesser toe(s), init
S92.535B@Nondisp fx of dist phalanx of l less toe(s), init for opn fx
S92.535D@Nondisp fx of dist phalanx of l less toe(s), 7thD
S92.535G@Nondisp fx of dist phalanx of l less toe(s), 7thG
S92.535K@Nondisp fx of dist phalanx of l less toe(s), 7thK
S92.535P@Nondisp fx of dist phalanx of l less toe(s), 7thP
S92.535S@Nondisp fx of distal phalanx of left lesser toe(s), sequela
S92.536A@Nondisp fx of distal phalanx of unsp lesser toe(s), init
S92.536B@Nondisp fx of dist phalanx of unsp less toe(s), 7thB
S92.536D@Nondisp fx of dist phalanx of unsp less toe(s), 7thD
S92.536G@Nondisp fx of dist phalanx of unsp less toe(s), 7thG
S92.536K@Nondisp fx of dist phalanx of unsp less toe(s), 7thK
S92.536P@Nondisp fx of dist phalanx of unsp less toe(s), 7thP
S92.536S@Nondisp fx of distal phalanx of unsp lesser toe(s), sequela
S92.591A@Oth fracture of right lesser toe(s), init for clos fx
S92.591B@Oth fracture of right lesser toe(s), init for opn fx
S92.591D@Oth fx right lesser toe(s), subs for fx w routn heal
S92.591G@Oth fx right lesser toe(s), subs for fx w delay heal
S92.591K@Oth fracture of right lesser toe(s), subs for fx w nonunion
S92.591P@Oth fracture of right lesser toe(s), subs for fx w malunion
S92.591S@Other fracture of right lesser toe(s), sequela
S92.592A@Oth fracture of left lesser toe(s), init for clos fx
S92.592B@Oth fracture of left lesser toe(s), init for opn fx
S92.592D@Oth fracture of left lesser toe(s), subs for fx w routn heal
S92.592G@Oth fracture of left lesser toe(s), subs for fx w delay heal
S92.592K@Oth fracture of left lesser toe(s), subs for fx w nonunion
S92.592P@Oth fracture of left lesser toe(s), subs for fx w malunion
S92.592S@Other fracture of left lesser toe(s), sequela
S92.599A@Oth fracture of unsp lesser toe(s), init for clos fx
S92.599B@Oth fracture of unsp lesser toe(s), init for opn fx
S92.599D@Oth fracture of unsp lesser toe(s), subs for fx w routn heal
S92.599G@Oth fracture of unsp lesser toe(s), subs for fx w delay heal
S92.599K@Oth fracture of unsp lesser toe(s), subs for fx w nonunion
S92.599P@Oth fracture of unsp lesser toe(s), subs for fx w malunion
S92.599S@Other fracture of unspecified lesser toe(s), sequela
S92.901A@Unsp fracture of right foot, init encntr for closed fracture
S92.901B@Unsp fracture of right foot, init encntr for open fracture
S92.901D@Unsp fracture of right foot, subs for fx w routn heal
S92.901G@Unsp fracture of right foot, subs for fx w delay heal
S92.901K@Unsp fracture of right foot, subs for fx w nonunion
S92.901P@Unsp fracture of right foot, subs for fx w malunion
S92.901S@Unspecified fracture of right foot, sequela
S92.902A@Unsp fracture of left foot, init encntr for closed fracture
S92.902B@Unsp fracture of left foot, init encntr for open fracture
S92.902D@Unsp fracture of left foot, subs for fx w routn heal
S92.902G@Unsp fracture of left foot, subs for fx w delay heal
S92.902K@Unsp fracture of left foot, subs for fx w nonunion
S92.902P@Unsp fracture of left foot, subs for fx w malunion
S92.902S@Unspecified fracture of left foot, sequela
S92.909A@Unsp fracture of unsp foot, init encntr for closed fracture
S92.909B@Unsp fracture of unsp foot, init encntr for open fracture
S92.909D@Unsp fracture of unsp foot, subs for fx w routn heal
S92.909G@Unsp fracture of unsp foot, subs for fx w delay heal
S92.909K@Unsp fracture of unsp foot, subs for fx w nonunion
S92.909P@Unsp fracture of unsp foot, subs for fx w malunion
S92.909S@Unspecified fracture of unspecified foot, sequela
S92.911A@Unsp fracture of right toe(s), init for clos fx
S92.911B@Unsp fracture of right toe(s), init encntr for open fracture
S92.911D@Unsp fracture of right toe(s), subs for fx w routn heal
S92.911G@Unsp fracture of right toe(s), subs for fx w delay heal
S92.911K@Unsp fracture of right toe(s), subs for fx w nonunion
S92.911P@Unsp fracture of right toe(s), subs for fx w malunion
S92.911S@Unspecified fracture of right toe(s), sequela
S92.912A@Unsp fracture of left toe(s), init for clos fx
S92.912B@Unsp fracture of left toe(s), init encntr for open fracture
S92.912D@Unsp fracture of left toe(s), subs for fx w routn heal
S92.912G@Unsp fracture of left toe(s), subs for fx w delay heal
S92.912K@Unsp fracture of left toe(s), subs for fx w nonunion
S92.912P@Unsp fracture of left toe(s), subs for fx w malunion
S92.912S@Unspecified fracture of left toe(s), sequela
S92.919A@Unsp fracture of unsp toe(s), init for clos fx
S92.919B@Unsp fracture of unsp toe(s), init encntr for open fracture
S92.919D@Unsp fracture of unsp toe(s), subs for fx w routn heal
S92.919G@Unsp fracture of unsp toe(s), subs for fx w delay heal
S92.919K@Unsp fracture of unsp toe(s), subs for fx w nonunion
S92.919P@Unsp fracture of unsp toe(s), subs for fx w malunion
S92.919S@Unspecified fracture of unspecified toe(s), sequela
S93.01XA@Subluxation of right ankle joint, initial encounter
S93.01XD@Subluxation of right ankle joint, subsequent encounter
S93.01XS@Subluxation of right ankle joint, sequela
S93.02XA@Subluxation of left ankle joint, initial encounter
S93.02XD@Subluxation of left ankle joint, subsequent encounter
S93.02XS@Subluxation of left ankle joint, sequela
S93.03XA@Subluxation of unspecified ankle joint, initial encounter
S93.03XD@Subluxation of unspecified ankle joint, subsequent encounter
S93.03XS@Subluxation of unspecified ankle joint, sequela
S93.04XA@Dislocation of right ankle joint, initial encounter
S93.04XD@Dislocation of right ankle joint, subsequent encounter
S93.04XS@Dislocation of right ankle joint, sequela
S93.05XA@Dislocation of left ankle joint, initial encounter
S93.05XD@Dislocation of left ankle joint, subsequent encounter
S93.05XS@Dislocation of left ankle joint, sequela
S93.06XA@Dislocation of unspecified ankle joint, initial encounter
S93.06XD@Dislocation of unspecified ankle joint, subsequent encounter
S93.06XS@Dislocation of unspecified ankle joint, sequela
S93.101A@Unspecified subluxation of right toe(s), initial encounter
S93.101D@Unspecified subluxation of right toe(s), subs encntr
S93.101S@Unspecified subluxation of right toe(s), sequela
S93.102A@Unspecified subluxation of left toe(s), initial encounter
S93.102D@Unspecified subluxation of left toe(s), subsequent encounter
S93.102S@Unspecified subluxation of left toe(s), sequela
S93.103A@Unspecified subluxation of unspecified toe(s), init encntr
S93.103D@Unspecified subluxation of unspecified toe(s), subs encntr
S93.103S@Unspecified subluxation of unspecified toe(s), sequela
S93.104A@Unspecified dislocation of right toe(s), initial encounter
S93.104D@Unspecified dislocation of right toe(s), subs encntr
S93.104S@Unspecified dislocation of right toe(s), sequela
S93.105A@Unspecified dislocation of left toe(s), initial encounter
S93.105D@Unspecified dislocation of left toe(s), subsequent encounter
S93.105S@Unspecified dislocation of left toe(s), sequela
S93.106A@Unspecified dislocation of unspecified toe(s), init encntr
S93.106D@Unspecified dislocation of unspecified toe(s), subs encntr
S93.106S@Unspecified dislocation of unspecified toe(s), sequela
S93.111A@Dislocation of interphaln joint of right great toe, init
S93.111D@Dislocation of interphaln joint of right great toe, subs
S93.111S@Dislocation of interphaln joint of right great toe, sequela
S93.112A@Dislocation of interphalangeal joint of left great toe, init
S93.112D@Dislocation of interphalangeal joint of left great toe, subs
S93.112S@Dislocation of interphaln joint of left great toe, sequela
S93.113A@Dislocation of interphalangeal joint of unsp great toe, init
S93.113D@Dislocation of interphalangeal joint of unsp great toe, subs
S93.113S@Dislocation of interphaln joint of unsp great toe, sequela
S93.114A@Dislocation of interphaln joint of right lesser toe(s), init
S93.114D@Dislocation of interphaln joint of right lesser toe(s), subs
S93.114S@Disloc of interphaln joint of right lesser toe(s), sequela
S93.115A@Dislocation of interphaln joint of left lesser toe(s), init
S93.115D@Dislocation of interphaln joint of left lesser toe(s), subs
S93.115S@Disloc of interphaln joint of left lesser toe(s), sequela
S93.116A@Dislocation of interphaln joint of unsp lesser toe(s), init
S93.116D@Dislocation of interphaln joint of unsp lesser toe(s), subs
S93.116S@Disloc of interphaln joint of unsp lesser toe(s), sequela
S93.119A@Dislocation of interphalangeal joint of unsp toe(s), init
S93.119D@Dislocation of interphalangeal joint of unsp toe(s), subs
S93.119S@Dislocation of interphalangeal joint of unsp toe(s), sequela
S93.121A@Dislocation of MTP joint of right great toe, init
S93.121D@Dislocation of MTP joint of right great toe, subs
S93.121S@Dislocation of MTP joint of right great toe, sequela
S93.122A@Dislocation of MTP joint of left great toe, init
S93.122D@Dislocation of MTP joint of left great toe, subs
S93.122S@Dislocation of MTP joint of left great toe, sequela
S93.123A@Dislocation of MTP joint of unsp great toe, init
S93.123D@Dislocation of MTP joint of unsp great toe, subs
S93.123S@Dislocation of MTP joint of unsp great toe, sequela
S93.124A@Dislocation of MTP joint of right lesser toe(s), init
S93.124D@Dislocation of MTP joint of right lesser toe(s), subs
S93.124S@Dislocation of MTP joint of right lesser toe(s), sequela
S93.125A@Dislocation of MTP joint of left lesser toe(s), init
S93.125D@Dislocation of MTP joint of left lesser toe(s), subs
S93.125S@Dislocation of MTP joint of left lesser toe(s), sequela
S93.126A@Dislocation of MTP joint of unsp lesser toe(s), init
S93.126D@Dislocation of MTP joint of unsp lesser toe(s), subs
S93.126S@Dislocation of MTP joint of unsp lesser toe(s), sequela
S93.129A@Dislocation of MTP joint of unsp toe(s), init
S93.129D@Dislocation of MTP joint of unsp toe(s), subs
S93.129S@Dislocation of MTP joint of unsp toe(s), sequela
S93.131A@Subluxation of interphaln joint of right great toe, init
S93.131D@Subluxation of interphaln joint of right great toe, subs
S93.131S@Subluxation of interphaln joint of right great toe, sequela
S93.132A@Subluxation of interphalangeal joint of left great toe, init
S93.132D@Subluxation of interphalangeal joint of left great toe, subs
S93.132S@Subluxation of interphaln joint of left great toe, sequela
S93.133A@Subluxation of interphalangeal joint of unsp great toe, init
S93.133D@Subluxation of interphalangeal joint of unsp great toe, subs
S93.133S@Subluxation of interphaln joint of unsp great toe, sequela
S93.134A@Subluxation of interphaln joint of right lesser toe(s), init
S93.134D@Subluxation of interphaln joint of right lesser toe(s), subs
S93.134S@Sublux of interphaln joint of right lesser toe(s), sequela
S93.135A@Subluxation of interphaln joint of left lesser toe(s), init
S93.135D@Subluxation of interphaln joint of left lesser toe(s), subs
S93.135S@Sublux of interphaln joint of left lesser toe(s), sequela
S93.136A@Subluxation of interphaln joint of unsp lesser toe(s), init
S93.136D@Subluxation of interphaln joint of unsp lesser toe(s), subs
S93.136S@Sublux of interphaln joint of unsp lesser toe(s), sequela
S93.139A@Subluxation of interphalangeal joint of unsp toe(s), init
S93.139D@Subluxation of interphalangeal joint of unsp toe(s), subs
S93.139S@Subluxation of interphalangeal joint of unsp toe(s), sequela
S93.141A@Subluxation of MTP joint of right great toe, init
S93.141D@Subluxation of MTP joint of right great toe, subs
S93.141S@Subluxation of MTP joint of right great toe, sequela
S93.142A@Subluxation of MTP joint of left great toe, init
S93.142D@Subluxation of MTP joint of left great toe, subs
S93.142S@Subluxation of MTP joint of left great toe, sequela
S93.143A@Subluxation of MTP joint of unsp great toe, init
S93.143D@Subluxation of MTP joint of unsp great toe, subs
S93.143S@Subluxation of MTP joint of unsp great toe, sequela
S93.144A@Subluxation of MTP joint of right lesser toe(s), init
S93.144D@Subluxation of MTP joint of right lesser toe(s), subs
S93.144S@Subluxation of MTP joint of right lesser toe(s), sequela
S93.145A@Subluxation of MTP joint of left lesser toe(s), init
S93.145D@Subluxation of MTP joint of left lesser toe(s), subs
S93.145S@Subluxation of MTP joint of left lesser toe(s), sequela
S93.146A@Subluxation of MTP joint of unsp lesser toe(s), init
S93.146D@Subluxation of MTP joint of unsp lesser toe(s), subs
S93.146S@Subluxation of MTP joint of unsp lesser toe(s), sequela
S93.149A@Subluxation of MTP joint of unsp toe(s), init
S93.149D@Subluxation of MTP joint of unsp toe(s), subs
S93.149S@Subluxation of MTP joint of unsp toe(s), sequela
S93.301A@Unspecified subluxation of right foot, initial encounter
S93.301D@Unspecified subluxation of right foot, subsequent encounter
S93.301S@Unspecified subluxation of right foot, sequela
S93.302A@Unspecified subluxation of left foot, initial encounter
S93.302D@Unspecified subluxation of left foot, subsequent encounter
S93.302S@Unspecified subluxation of left foot, sequela
S93.303A@Unspecified subluxation of unspecified foot, init encntr
S93.303D@Unspecified subluxation of unspecified foot, subs encntr
S93.303S@Unspecified subluxation of unspecified foot, sequela
S93.304A@Unspecified dislocation of right foot, initial encounter
S93.304D@Unspecified dislocation of right foot, subsequent encounter
S93.304S@Unspecified dislocation of right foot, sequela
S93.305A@Unspecified dislocation of left foot, initial encounter
S93.305D@Unspecified dislocation of left foot, subsequent encounter
S93.305S@Unspecified dislocation of left foot, sequela
S93.306A@Unspecified dislocation of unspecified foot, init encntr
S93.306D@Unspecified dislocation of unspecified foot, subs encntr
S93.306S@Unspecified dislocation of unspecified foot, sequela
S93.311A@Subluxation of tarsal joint of right foot, initial encounter
S93.311D@Subluxation of tarsal joint of right foot, subs encntr
S93.311S@Subluxation of tarsal joint of right foot, sequela
S93.312A@Subluxation of tarsal joint of left foot, initial encounter
S93.312D@Subluxation of tarsal joint of left foot, subs encntr
S93.312S@Subluxation of tarsal joint of left foot, sequela
S93.313A@Subluxation of tarsal joint of unspecified foot, init encntr
S93.313D@Subluxation of tarsal joint of unspecified foot, subs encntr
S93.313S@Subluxation of tarsal joint of unspecified foot, sequela
S93.314A@Dislocation of tarsal joint of right foot, initial encounter
S93.314D@Dislocation of tarsal joint of right foot, subs encntr
S93.314S@Dislocation of tarsal joint of right foot, sequela
S93.315A@Dislocation of tarsal joint of left foot, initial encounter
S93.315D@Dislocation of tarsal joint of left foot, subs encntr
S93.315S@Dislocation of tarsal joint of left foot, sequela
S93.316A@Dislocation of tarsal joint of unspecified foot, init encntr
S93.316D@Dislocation of tarsal joint of unspecified foot, subs encntr
S93.316S@Dislocation of tarsal joint of unspecified foot, sequela
S93.321A@Subluxation of tarsometatarsal joint of right foot, init
S93.321D@Subluxation of tarsometatarsal joint of right foot, subs
S93.321S@Subluxation of tarsometatarsal joint of right foot, sequela
S93.322A@Subluxation of tarsometatarsal joint of left foot, init
S93.322D@Subluxation of tarsometatarsal joint of left foot, subs
S93.322S@Subluxation of tarsometatarsal joint of left foot, sequela
S93.323A@Subluxation of tarsometatarsal joint of unsp foot, init
S93.323D@Subluxation of tarsometatarsal joint of unsp foot, subs
S93.323S@Subluxation of tarsometatarsal joint of unsp foot, sequela
S93.324A@Dislocation of tarsometatarsal joint of right foot, init
S93.324D@Dislocation of tarsometatarsal joint of right foot, subs
S93.324S@Dislocation of tarsometatarsal joint of right foot, sequela
S93.325A@Dislocation of tarsometatarsal joint of left foot, init
S93.325D@Dislocation of tarsometatarsal joint of left foot, subs
S93.325S@Dislocation of tarsometatarsal joint of left foot, sequela
S93.326A@Dislocation of tarsometatarsal joint of unsp foot, init
S93.326D@Dislocation of tarsometatarsal joint of unsp foot, subs
S93.326S@Dislocation of tarsometatarsal joint of unsp foot, sequela
