S00.00XA@Unspecified superficial injury of scalp, initial encounter
S66.412S@Strain of intrns musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.419A@Strain of intrinsic musc/fasc/tend thmb at wrs/hnd lv, init
S66.419D@Strain of intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs
S66.419S@Strain of intrns musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.421A@Lacerat intrinsic musc/fasc/tend r thm at wrs/hnd lv, init
S66.421D@Lacerat intrinsic musc/fasc/tend r thm at wrs/hnd lv, subs
S66.421S@Lacerat intrns musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.422A@Lacerat intrinsic musc/fasc/tend l thm at wrs/hnd lv, init
S66.422D@Lacerat intrinsic musc/fasc/tend l thm at wrs/hnd lv, subs
S66.422S@Lacerat intrns musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.429A@Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, init
S66.429D@Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs
S66.429S@Lacerat intrinsic musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.491A@Inj intrinsic musc/fasc/tend right thumb at wrs/hnd lv, init
S66.491D@Inj intrinsic musc/fasc/tend right thumb at wrs/hnd lv, subs
S66.491S@Inj intrinsic musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.492A@Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv, init
S66.492D@Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv, subs
S66.492S@Inj intrinsic musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.499A@Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, init
S66.499D@Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs
S66.499S@Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.500A@Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,init
S66.500D@Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,subs
S66.500S@Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,sqla
S66.501A@Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,init
S66.501D@Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,subs
S66.501S@Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,sqla
S66.502A@Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,init
S66.502D@Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,subs
S66.502S@Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,sqla
S66.503A@Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,init
S66.503D@Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,subs
S66.503S@Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,sqla
S66.504A@Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,init
S66.504D@Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,subs
S66.504S@Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,sqla
S66.505A@Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,init
S66.505D@Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,subs
S66.505S@Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,sqla
S66.506A@Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,init
S66.506D@Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,subs
S66.506S@Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,sqla
S66.507A@Unsp inj intrns musc/fasc/tend l lit fngr at wrs/hnd lv,init
S66.507D@Unsp inj intrns musc/fasc/tend l lit fngr at wrs/hnd lv,subs
S66.507S@Unsp inj intrns musc/fasc/tend l lit fngr at wrs/hnd lv,sqla
S66.508A@Unsp inj intrinsic musc/fasc/tend finger at wrs/hnd lv, init
S66.508D@Unsp inj intrinsic musc/fasc/tend finger at wrs/hnd lv, subs
S66.508S@Unsp inj intrns musc/fasc/tend finger at wrs/hnd lv, sequela
S66.509A@Unsp inj intrns musc/fasc/tend unsp fngr at wrs/hnd lv, init
S66.509D@Unsp inj intrns musc/fasc/tend unsp fngr at wrs/hnd lv, subs
S66.509S@Unsp inj intrns musc/fasc/tend unsp fngr at wrs/hnd lv, sqla
S66.510A@Strain intrns musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.510D@Strain intrns musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.510S@Strain intrns musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.511A@Strain intrns musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.511D@Strain intrns musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.511S@Strain intrns musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.512A@Strain intrns musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.512D@Strain intrns musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.512S@Strain intrns musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.513A@Strain intrns musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.513D@Strain intrns musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.513S@Strain intrns musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.514A@Strain intrns musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.514D@Strain intrns musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.514S@Strain intrns musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.515A@Strain intrns musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.515D@Strain intrns musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.515S@Strain intrns musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.516A@Strain intrns musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.516D@Strain intrns musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.516S@Strain intrns musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.517A@Strain intrns musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.517D@Strain intrns musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.517S@Strain intrns musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.518A@Strain of intrns musc/fasc/tend finger at wrs/hnd lv, init
S66.518D@Strain of intrns musc/fasc/tend finger at wrs/hnd lv, subs
S66.518S@Strain intrns musc/fasc/tend finger at wrs/hnd lv, sequela
S66.519A@Strain intrns musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.519D@Strain intrns musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.519S@Strain intrns musc/fasc/tend unsp finger at wrs/hnd lv, sqla
S66.520A@Lacerat intrns musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.520D@Lacerat intrns musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.520S@Lacerat intrns musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.521A@Lacerat intrns musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.521D@Lacerat intrns musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.521S@Lacerat intrns musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.522A@Lacerat intrns musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.522D@Lacerat intrns musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.522S@Lacerat intrns musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.523A@Lacerat intrns musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.523D@Lacerat intrns musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.523S@Lacerat intrns musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.524A@Lacerat intrns musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.524D@Lacerat intrns musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.524S@Lacerat intrns musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.525A@Lacerat intrns musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.525D@Lacerat intrns musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.525S@Lacerat intrns musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.526A@Lacerat intrns musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.526D@Lacerat intrns musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.526S@Lacerat intrns musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.527A@Lacerat intrns musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.527D@Lacerat intrns musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.527S@Lacerat intrns musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.528A@Lacerat intrinsic musc/fasc/tend finger at wrs/hnd lv, init
S66.528D@Lacerat intrinsic musc/fasc/tend finger at wrs/hnd lv, subs
S66.528S@Lacerat intrns musc/fasc/tend finger at wrs/hnd lv, sequela
S66.529A@Lacerat intrns musc/fasc/tend unsp fngr at wrs/hnd lv, init
S66.529D@Lacerat intrns musc/fasc/tend unsp fngr at wrs/hnd lv, subs
S66.529S@Lacerat intrns musc/fasc/tend unsp fngr at wrs/hnd lv, sqla
S66.590A@Inj intrinsic musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.590D@Inj intrinsic musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.590S@Inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv, sequela
S66.591A@Inj intrinsic musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.591D@Inj intrinsic musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.591S@Inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv, sequela
S66.592A@Inj intrns musc/fasc/tend r mid finger at wrs/hnd lv, init
S66.592D@Inj intrns musc/fasc/tend r mid finger at wrs/hnd lv, subs
S66.592S@Inj intrns musc/fasc/tend r mid finger at wrs/hnd lv, sqla
S66.593A@Inj intrns musc/fasc/tend l mid finger at wrs/hnd lv, init
S66.593D@Inj intrns musc/fasc/tend l mid finger at wrs/hnd lv, subs
S66.593S@Inj intrns musc/fasc/tend l mid finger at wrs/hnd lv, sqla
S66.594A@Inj intrinsic musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.594D@Inj intrinsic musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.594S@Inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv, sequela
S66.595A@Inj intrinsic musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.595D@Inj intrinsic musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.595S@Inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv, sequela
S66.596A@Inj intrns musc/fasc/tend r little fngr at wrs/hnd lv, init
S66.596D@Inj intrns musc/fasc/tend r little fngr at wrs/hnd lv, subs
S66.596S@Inj intrns musc/fasc/tend r little fngr at wrs/hnd lv, sqla
S66.597A@Inj intrns musc/fasc/tend l little fngr at wrs/hnd lv, init
S66.597D@Inj intrns musc/fasc/tend l little fngr at wrs/hnd lv, subs
S66.597S@Inj intrns musc/fasc/tend l little fngr at wrs/hnd lv, sqla
S66.598A@Inj intrinsic musc/fasc/tend finger at wrs/hnd lv, init
S66.598D@Inj intrinsic musc/fasc/tend finger at wrs/hnd lv, subs
S66.598S@Inj intrinsic musc/fasc/tend finger at wrs/hnd lv, sequela
S66.599A@Inj intrinsic musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.599D@Inj intrinsic musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.599S@Inj intrns musc/fasc/tend unsp finger at wrs/hnd lv, sequela
S66.801A@Unsp injury of musc/fasc/tend at wrs/hnd lv, r hand, init
S66.801D@Unsp injury of musc/fasc/tend at wrs/hnd lv, r hand, subs
S66.801S@Unsp injury of musc/fasc/tend at wrs/hnd lv, r hand, sequela
S66.802A@Unsp injury of musc/fasc/tend at wrs/hnd lv, left hand, init
S66.802D@Unsp injury of musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.802S@Unsp inj musc/fasc/tend at wrs/hnd lv, left hand, sequela
S66.809A@Unsp injury of musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.809D@Unsp injury of musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.809S@Unsp inj musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
S66.811A@Strain of musc/fasc/tend at wrs/hnd lv, right hand, init
S66.811D@Strain of musc/fasc/tend at wrs/hnd lv, right hand, subs
S66.811S@Strain of musc/fasc/tend at wrs/hnd lv, right hand, sequela
S66.812A@Strain of musc/fasc/tend at wrs/hnd lv, left hand, init
S66.812D@Strain of musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.812S@Strain of musc/fasc/tend at wrs/hnd lv, left hand, sequela
S66.819A@Strain of musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.819D@Strain of musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.819S@Strain of musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
S66.821A@Laceration of musc/fasc/tend at wrs/hnd lv, right hand, init
S66.821D@Laceration of musc/fasc/tend at wrs/hnd lv, right hand, subs
S66.821S@Lacerat musc/fasc/tend at wrs/hnd lv, right hand, sequela
S66.822A@Laceration of musc/fasc/tend at wrs/hnd lv, left hand, init
S66.822D@Laceration of musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.822S@Lacerat musc/fasc/tend at wrs/hnd lv, left hand, sequela
S66.829A@Laceration of musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.829D@Laceration of musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.829S@Lacerat musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
S66.891A@Inj musc/fasc/tend at wrist and hand level, right hand, init
S66.891D@Inj musc/fasc/tend at wrist and hand level, right hand, subs
S66.891S@Inj musc/fasc/tend at wrs/hnd lv, right hand, sequela
S66.892A@Inj musc/fasc/tend at wrist and hand level, left hand, init
S66.892D@Inj musc/fasc/tend at wrist and hand level, left hand, subs
S66.892S@Inj musc/fasc/tend at wrs/hnd lv, left hand, sequela
S66.899A@Inj musc/fasc/tend at wrist and hand level, unsp hand, init
S66.899D@Inj musc/fasc/tend at wrist and hand level, unsp hand, subs
S66.899S@Inj musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
S66.901A@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, r hand, init
S66.901D@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, r hand, subs
S66.901S@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, r hand, sequela
S66.902A@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, left hand, init
S66.902D@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.902S@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, l hand, sequela
S66.909A@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.909D@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.909S@Unsp inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, sqla
S66.911A@Strain of unsp musc/fasc/tend at wrs/hnd lv, r hand, init
S66.911D@Strain of unsp musc/fasc/tend at wrs/hnd lv, r hand, subs
S66.911S@Strain of unsp musc/fasc/tend at wrs/hnd lv, r hand, sequela
S66.912A@Strain of unsp musc/fasc/tend at wrs/hnd lv, left hand, init
S66.912D@Strain of unsp musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.912S@Strain of unsp musc/fasc/tend at wrs/hnd lv, l hand, sequela
S66.919A@Strain of unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.919D@Strain of unsp musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.919S@Strain unsp musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
S66.921A@Lacerat unsp musc/fasc/tend at wrs/hnd lv, right hand, init
S66.921D@Lacerat unsp musc/fasc/tend at wrs/hnd lv, right hand, subs
S66.921S@Lacerat unsp musc/fasc/tend at wrs/hnd lv, r hand, sequela
S66.922A@Lacerat unsp musc/fasc/tend at wrs/hnd lv, left hand, init
S66.922D@Lacerat unsp musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.922S@Lacerat unsp musc/fasc/tend at wrs/hnd lv, l hand, sequela
S66.929A@Lacerat unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.929D@Lacerat unsp musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.929S@Lacerat unsp musc/fasc/tend at wrs/hnd lv, unsp hand, sqla
S66.991A@Inj unsp musc/fasc/tend at wrs/hnd lv, right hand, init
S66.991D@Inj unsp musc/fasc/tend at wrs/hnd lv, right hand, subs
S66.991S@Inj unsp musc/fasc/tend at wrs/hnd lv, right hand, sequela
S66.992A@Inj unsp musc/fasc/tend at wrs/hnd lv, left hand, init
S66.992D@Inj unsp musc/fasc/tend at wrs/hnd lv, left hand, subs
S66.992S@Inj unsp musc/fasc/tend at wrs/hnd lv, left hand, sequela
S66.999A@Inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init
S66.999D@Inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, subs
S66.999S@Inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, sequela
#
S67.00XA@Crushing injury of unspecified thumb, initial encounter
S67.00XD@Crushing injury of unspecified thumb, subsequent encounter
S67.00XS@Crushing injury of unspecified thumb, sequela
S67.01XA@Crushing injury of right thumb, initial encounter
S67.01XD@Crushing injury of right thumb, subsequent encounter
S67.01XS@Crushing injury of right thumb, sequela
S67.02XA@Crushing injury of left thumb, initial encounter
S67.02XD@Crushing injury of left thumb, subsequent encounter
S67.02XS@Crushing injury of left thumb, sequela
S67.10XA@Crushing injury of unspecified finger(s), initial encounter
S67.10XD@Crushing injury of unspecified finger(s), subs encntr
S67.10XS@Crushing injury of unspecified finger(s), sequela
S67.190A@Crushing injury of right index finger, initial encounter
S67.190D@Crushing injury of right index finger, subsequent encounter
S67.190S@Crushing injury of right index finger, sequela
S67.191A@Crushing injury of left index finger, initial encounter
S67.191D@Crushing injury of left index finger, subsequent encounter
S67.191S@Crushing injury of left index finger, sequela
S67.192A@Crushing injury of right middle finger, initial encounter
S67.192D@Crushing injury of right middle finger, subsequent encounter
S67.192S@Crushing injury of right middle finger, sequela
S67.193A@Crushing injury of left middle finger, initial encounter
S67.193D@Crushing injury of left middle finger, subsequent encounter
S67.193S@Crushing injury of left middle finger, sequela
S67.194A@Crushing injury of right ring finger, initial encounter
S67.194D@Crushing injury of right ring finger, subsequent encounter
S67.194S@Crushing injury of right ring finger, sequela
S67.195A@Crushing injury of left ring finger, initial encounter
S67.195D@Crushing injury of left ring finger, subsequent encounter
S67.195S@Crushing injury of left ring finger, sequela
S67.196A@Crushing injury of right little finger, initial encounter
S67.196D@Crushing injury of right little finger, subsequent encounter
S67.196S@Crushing injury of right little finger, sequela
S67.197A@Crushing injury of left little finger, initial encounter
S67.197D@Crushing injury of left little finger, subsequent encounter
S67.197S@Crushing injury of left little finger, sequela
S67.198A@Crushing injury of other finger, initial encounter
S67.198D@Crushing injury of other finger, subsequent encounter
S67.198S@Crushing injury of other finger, sequela
S67.20XA@Crushing injury of unspecified hand, initial encounter
S67.20XD@Crushing injury of unspecified hand, subsequent encounter
S67.20XS@Crushing injury of unspecified hand, sequela
S67.21XA@Crushing injury of right hand, initial encounter
S67.21XD@Crushing injury of right hand, subsequent encounter
S67.21XS@Crushing injury of right hand, sequela
S67.22XA@Crushing injury of left hand, initial encounter
S67.22XD@Crushing injury of left hand, subsequent encounter
S67.22XS@Crushing injury of left hand, sequela
S67.30XA@Crushing injury of unspecified wrist, initial encounter
S67.30XD@Crushing injury of unspecified wrist, subsequent encounter
S67.30XS@Crushing injury of unspecified wrist, sequela
S67.31XA@Crushing injury of right wrist, initial encounter
S67.31XD@Crushing injury of right wrist, subsequent encounter
S67.31XS@Crushing injury of right wrist, sequela
S67.32XA@Crushing injury of left wrist, initial encounter
S67.32XD@Crushing injury of left wrist, subsequent encounter
S67.32XS@Crushing injury of left wrist, sequela
S67.40XA@Crushing injury of unspecified wrist and hand, init encntr
S67.40XD@Crushing injury of unspecified wrist and hand, subs encntr
S67.40XS@Crushing injury of unspecified wrist and hand, sequela
S67.41XA@Crushing injury of right wrist and hand, initial encounter
S67.41XD@Crushing injury of right wrist and hand, subs encntr
S67.41XS@Crushing injury of right wrist and hand, sequela
S67.42XA@Crushing injury of left wrist and hand, initial encounter
S67.42XD@Crushing injury of left wrist and hand, subsequent encounter
S67.42XS@Crushing injury of left wrist and hand, sequela
S67.90XA@Crush inj unsp part(s) of unsp wrist, hand and fingers, init
S67.90XD@Crush inj unsp part(s) of unsp wrist, hand and fingers, subs
S67.90XS@Crush inj unsp part(s) of unsp wrist, hand and fngr, sequela
S67.91XA@Crushing inj unsp part(s) of r wrist, hand and fingers, init
S67.91XD@Crushing inj unsp part(s) of r wrist, hand and fingers, subs
S67.91XS@Crush inj unsp part(s) of r wrist, hand and fingers, sequela
S67.92XA@Crushing inj unsp part(s) of l wrist, hand and fingers, init
S67.92XD@Crushing inj unsp part(s) of l wrist, hand and fingers, subs
S67.92XS@Crush inj unsp part(s) of l wrist, hand and fingers, sequela
#
S68.011A@Complete traumatic MCP amputation of right thumb, init
S68.011D@Complete traumatic MCP amputation of right thumb, subs
S68.011S@Complete traumatic MCP amputation of right thumb, sequela
S68.012A@Complete traumatic MCP amputation of left thumb, init
S68.012D@Complete traumatic MCP amputation of left thumb, subs
S68.012S@Complete traumatic MCP amputation of left thumb, sequela
S68.019A@Complete traumatic MCP amputation of thmb, init
S68.019D@Complete traumatic MCP amputation of thmb, subs
S68.019S@Complete traumatic MCP amputation of thmb, sequela
S68.021A@Partial traumatic MCP amputation of right thumb, init
S68.021D@Partial traumatic MCP amputation of right thumb, subs
S68.021S@Partial traumatic MCP amputation of right thumb, sequela
S68.022A@Partial traumatic MCP amputation of left thumb, init
S68.022D@Partial traumatic MCP amputation of left thumb, subs
S68.022S@Partial traumatic MCP amputation of left thumb, sequela
S68.029A@Partial traumatic MCP amputation of thmb, init
S68.029D@Partial traumatic MCP amputation of thmb, subs
S68.029S@Partial traumatic MCP amputation of thmb, sequela
S68.110A@Complete traumatic MCP amputation of r idx fngr, init
S68.110D@Complete traumatic MCP amputation of r idx fngr, subs
S68.110S@Complete traumatic MCP amputation of r idx fngr, sequela
S68.111A@Complete traumatic MCP amputation of left index finger, init
S68.111D@Complete traumatic MCP amputation of left index finger, subs
S68.111S@Complete traumatic MCP amputation of l idx fngr, sequela
S68.112A@Complete traumatic MCP amputation of r mid finger, init
S68.112D@Complete traumatic MCP amputation of r mid finger, subs
S68.112S@Complete traumatic MCP amputation of r mid finger, sequela
S68.113A@Complete traumatic MCP amputation of l mid finger, init
S68.113D@Complete traumatic MCP amputation of l mid finger, subs
S68.113S@Complete traumatic MCP amputation of l mid finger, sequela
S68.114A@Complete traumatic MCP amputation of right ring finger, init
S68.114D@Complete traumatic MCP amputation of right ring finger, subs
S68.114S@Complete traumatic MCP amputation of r rng fngr, sequela
