V00.01XA@Ped on foot injured in collision w roller-skater, init
W05.2XXS@Fall from non-moving motorized mobility scooter, sequela
#
W06.XXXA@Fall from bed, initial encounter
W06.XXXD@Fall from bed, subsequent encounter
W06.XXXS@Fall from bed, sequela
#
W07.XXXA@Fall from chair, initial encounter
W07.XXXD@Fall from chair, subsequent encounter
W07.XXXS@Fall from chair, sequela
#
W08.XXXA@Fall from other furniture, initial encounter
W08.XXXD@Fall from other furniture, subsequent encounter
W08.XXXS@Fall from other furniture, sequela
#
W09.0XXA@Fall on or from playground slide, initial encounter
W09.0XXD@Fall on or from playground slide, subsequent encounter
W09.0XXS@Fall on or from playground slide, sequela
W09.1XXA@Fall from playground swing, initial encounter
W09.1XXD@Fall from playground swing, subsequent encounter
W09.1XXS@Fall from playground swing, sequela
W09.2XXA@Fall on or from jungle gym, initial encounter
W09.2XXD@Fall on or from jungle gym, subsequent encounter
W09.2XXS@Fall on or from jungle gym, sequela
W09.8XXA@Fall on or from other playground equipment, init encntr
W09.8XXD@Fall on or from other playground equipment, subs encntr
W09.8XXS@Fall on or from other playground equipment, sequela
#
W10.0XXA@Fall (on)(from) escalator, initial encounter
W10.0XXD@Fall (on)(from) escalator, subsequent encounter
W10.0XXS@Fall (on)(from) escalator, sequela
W10.1XXA@Fall (on)(from) sidewalk curb, initial encounter
W10.1XXD@Fall (on)(from) sidewalk curb, subsequent encounter
W10.1XXS@Fall (on)(from) sidewalk curb, sequela
W10.2XXA@Fall (on)(from) incline, initial encounter
W10.2XXD@Fall (on)(from) incline, subsequent encounter
W10.2XXS@Fall (on)(from) incline, sequela
W10.8XXA@Fall (on) (from) other stairs and steps, initial encounter
W10.8XXD@Fall (on) (from) other stairs and steps, subs encntr
W10.8XXS@Fall (on) (from) other stairs and steps, sequela
W10.9XXA@Fall (on) (from) unspecified stairs and steps, init encntr
W10.9XXD@Fall (on) (from) unspecified stairs and steps, subs encntr
W10.9XXS@Fall (on) (from) unspecified stairs and steps, sequela
#
W11.XXXA@Fall on and from ladder, initial encounter
W11.XXXD@Fall on and from ladder, subsequent encounter
W11.XXXS@Fall on and from ladder, sequela
W12.XXXA@Fall on and from scaffolding, initial encounter
W12.XXXD@Fall on and from scaffolding, subsequent encounter
W12.XXXS@Fall on and from scaffolding, sequela
#
W13.0XXA@Fall from, out of or through balcony, initial encounter
W13.0XXD@Fall from, out of or through balcony, subsequent encounter
W13.0XXS@Fall from, out of or through balcony, sequela
W13.1XXA@Fall from, out of or through bridge, initial encounter
W13.1XXD@Fall from, out of or through bridge, subsequent encounter
W13.1XXS@Fall from, out of or through bridge, sequela
W13.2XXA@Fall from, out of or through roof, initial encounter
W13.2XXD@Fall from, out of or through roof, subsequent encounter
W13.2XXS@Fall from, out of or through roof, sequela
W13.3XXA@Fall through floor, initial encounter
W13.3XXD@Fall through floor, subsequent encounter
W13.3XXS@Fall through floor, sequela
W13.4XXA@Fall from, out of or through window, initial encounter
W13.4XXD@Fall from, out of or through window, subsequent encounter
W13.4XXS@Fall from, out of or through window, sequela
W13.8XXA@Fall from, out of or through oth building or structure, init
W13.8XXD@Fall from, out of or through oth building or structure, subs
W13.8XXS@Fall from, out of or through oth bldg, sequela
W13.9XXA@Fall from, out of or through bldg, not otherwise spcf, init
W13.9XXD@Fall from, out of or through bldg, not otherwise spcf, subs
W13.9XXS@Fall from, out of or through bldg, not otherwise spcf, sqla
#
W14.XXXA@Fall from tree, initial encounter
W14.XXXD@Fall from tree, subsequent encounter
W14.XXXS@Fall from tree, sequela
#
W15.XXXA@Fall from cliff, initial encounter
W15.XXXD@Fall from cliff, subsequent encounter
W15.XXXS@Fall from cliff, sequela
#
W16.011A@Fall into swimming pool striking surfc causing drown, init
W16.011D@Fall into swimming pool striking surfc causing drown, subs
W16.011S@Fall into swimming pool strk surfc causing drown, sequela
W16.012A@Fall into swimming pool strk surfc causing oth injury, init
W16.012D@Fall into swimming pool strk surfc causing oth injury, subs
W16.012S@Fall into swim pool strk surfc causing oth injury, sequela
W16.021A@Fall into swimming pool striking bottom causing drown, init
W16.021D@Fall into swimming pool striking bottom causing drown, subs
W16.021S@Fall into swimming pool strk bottom causing drown, sequela
W16.022A@Fall into swimming pool strk bottom causing oth injury, init
W16.022D@Fall into swimming pool strk bottom causing oth injury, subs
W16.022S@Fall into swim pool strk bottom causing oth injury, sequela
W16.031A@Fall into swimming pool striking wall causing drown, init
W16.031D@Fall into swimming pool striking wall causing drown, subs
W16.031S@Fall into swimming pool striking wall causing drown, sequela
W16.032A@Fall into swimming pool strk wall causing oth injury, init
W16.032D@Fall into swimming pool strk wall causing oth injury, subs
W16.032S@Fall into swim pool strk wall causing oth injury, sequela
W16.111A@Fall into natural body of water strk surfc cause drown, init
W16.111D@Fall into natural body of water strk surfc cause drown, subs
W16.111S@Fall into natrl body of water strk surfc cause drown, sqla
W16.112A@Fall into natrl body of water strk surfc cause oth inj, init
W16.112D@Fall into natrl body of water strk surfc cause oth inj, subs
W16.112S@Fall into natrl body of water strk surfc cause oth inj, sqla
W16.121A@Fall into natrl body of water strk bottom cause drown, init
W16.121D@Fall into natrl body of water strk bottom cause drown, subs
W16.121S@Fall into natrl body of water strk bottom cause drown, sqla
W16.122A@Fall into natrl body of water strk botm cause oth inj, init
W16.122D@Fall into natrl body of water strk botm cause oth inj, subs
W16.122S@Fall into natrl body of water strk botm cause oth inj, sqla
W16.131A@Fall into natural body of water strk side cause drown, init
W16.131D@Fall into natural body of water strk side cause drown, subs
W16.131S@Fall into natrl body of water strk side cause drown, sequela
W16.132A@Fall into natrl body of water strk side cause oth inj, init
W16.132D@Fall into natrl body of water strk side cause oth inj, subs
W16.132S@Fall into natrl body of water strk side cause oth inj, sqla
W16.211A@Fall in (into) filled bathtub causing drown, init
W16.211D@Fall in (into) filled bathtub causing drown, subs
W16.211S@Fall in (into) filled bathtub causing drown, sequela
W16.212A@Fall in (into) filled bathtub causing oth injury, init
W16.212D@Fall in (into) filled bathtub causing oth injury, subs
W16.212S@Fall in (into) filled bathtub causing other injury, sequela
W16.221A@Fall in (into) bucket of water causing drown, init
W16.221D@Fall in (into) bucket of water causing drown, subs
W16.221S@Fall in (into) bucket of water causing drown, sequela
W16.222A@Fall in (into) bucket of water causing oth injury, init
W16.222D@Fall in (into) bucket of water causing oth injury, subs
W16.222S@Fall in (into) bucket of water causing other injury, sequela
W16.311A@Fall into oth water striking surfc causing drown, init
W16.311D@Fall into oth water striking surfc causing drown, subs
W16.311S@Fall into oth water striking surfc causing drown, sequela
W16.312A@Fall into oth water striking surfc causing oth injury, init
W16.312D@Fall into oth water striking surfc causing oth injury, subs
W16.312S@Fall into oth water strk surfc causing oth injury, sequela
W16.321A@Fall into oth water striking bottom causing drown, init
W16.321D@Fall into oth water striking bottom causing drown, subs
W16.321S@Fall into oth water striking bottom causing drown, sequela
W16.322A@Fall into oth water striking bottom causing oth injury, init
W16.322D@Fall into oth water striking bottom causing oth injury, subs
W16.322S@Fall into oth water strk bottom causing oth injury, sequela
W16.331A@Fall into oth water striking wall causing drown, init
W16.331D@Fall into oth water striking wall causing drown, subs
W16.331S@Fall into oth water striking wall causing drown, sequela
W16.332A@Fall into oth water striking wall causing oth injury, init
W16.332D@Fall into oth water striking wall causing oth injury, subs
W16.332S@Fall into oth water strk wall causing oth injury, sequela
W16.41XA@Fall into unsp water causing drowning and submersion, init
W16.41XD@Fall into unsp water causing drowning and submersion, subs
W16.41XS@Fall into unsp water causing drown, sequela
W16.42XA@Fall into unsp water causing other injury, init encntr
W16.42XD@Fall into unsp water causing other injury, subs encntr
W16.42XS@Fall into unspecified water causing other injury, sequela
W16.511A@Jump/div into swimming pool strk surfc causing drown, init
W16.511D@Jump/div into swimming pool strk surfc causing drown, subs
W16.511S@Jump/div into swim pool strk surfc causing drown, sequela
W16.512A@Jump/div into swim pool strk surfc causing oth injury, init
W16.512D@Jump/div into swim pool strk surfc causing oth injury, subs
W16.512S@Jump/div into swim pool strk surfc cause oth injury, sequela
W16.521A@Jump/div into swimming pool strk bottom causing drown, init
W16.521D@Jump/div into swimming pool strk bottom causing drown, subs
W16.521S@Jump/div into swim pool strk bottom causing drown, sequela
W16.522A@Jump/div into swim pool strk bottom causing oth injury, init
W16.522D@Jump/div into swim pool strk bottom causing oth injury, subs
W16.522S@Jump/div into swim pool strk bottom cause oth injury, sqla
W16.531A@Jump/div into swimming pool strk wall causing drown, init
W16.531D@Jump/div into swimming pool strk wall causing drown, subs
W16.531S@Jump/div into swimming pool strk wall causing drown, sequela
W16.532A@Jump/div into swim pool strk wall causing oth injury, init
W16.532D@Jump/div into swim pool strk wall causing oth injury, subs
W16.532S@Jump/div into swim pool strk wall cause oth injury, sequela
W16.611A@Jump/div into natrl body of wtr strk surfc cause drown, init
W16.611D@Jump/div into natrl body of wtr strk surfc cause drown, subs
W16.611S@Jump/div into natrl body of wtr strk surfc cause drown, sqla
W16.612A@Jump/div in natrl body of wtr strk surfc cause oth inj, init
W16.612D@Jump/div in natrl body of wtr strk surfc cause oth inj, subs
W16.612S@Jump/div in natrl body of wtr strk surfc cause oth inj, sqla
W16.621A@Jump/div into natrl body of wtr strk botm cause drown, init
W16.621D@Jump/div into natrl body of wtr strk botm cause drown, subs
W16.621S@Jump/div into natrl body of wtr strk botm cause drown, sqla
W16.622A@Jump/div in natrl body of wtr strk botm cause oth inj, init
W16.622D@Jump/div in natrl body of wtr strk botm cause oth inj, subs
W16.622S@Jump/div in natrl body of wtr strk botm cause oth inj, sqla
W16.711A@Jump/div from boat striking surfc causing drown, init
W16.711D@Jump/div from boat striking surfc causing drown, subs
W16.711S@Jump/div from boat striking surfc causing drown, sequela
W16.712A@Jump/div from boat striking surfc causing oth injury, init
W16.712D@Jump/div from boat striking surfc causing oth injury, subs
W16.712S@Jump/div from boat strk surfc causing oth injury, sequela
W16.721A@Jump/div from boat striking bottom causing drown, init
W16.721D@Jump/div from boat striking bottom causing drown, subs
W16.721S@Jump/div from boat striking bottom causing drown, sequela
W16.722A@Jump/div from boat striking bottom causing oth injury, init
W16.722D@Jump/div from boat striking bottom causing oth injury, subs
W16.722S@Jump/div from boat strk bottom causing oth injury, sequela
W16.811A@Jump/div into oth water striking surfc causing drown, init
W16.811D@Jump/div into oth water striking surfc causing drown, subs
W16.811S@Jump/div into oth water strk surfc causing drown, sequela
W16.812A@Jump/div into oth water strk surfc causing oth injury, init
W16.812D@Jump/div into oth water strk surfc causing oth injury, subs
W16.812S@Jump/div into oth water strk surfc cause oth injury, sequela
W16.821A@Jump/div into oth water striking bottom causing drown, init
W16.821D@Jump/div into oth water striking bottom causing drown, subs
W16.821S@Jump/div into oth water strk bottom causing drown, sequela
W16.822A@Jump/div into oth water strk bottom causing oth injury, init
W16.822D@Jump/div into oth water strk bottom causing oth injury, subs
W16.822S@Jump/div into oth water strk bottom cause oth injury, sqla
W16.831A@Jump/div into oth water striking wall causing drown, init
W16.831D@Jump/div into oth water striking wall causing drown, subs
W16.831S@Jump/div into oth water striking wall causing drown, sequela
W16.832A@Jump/div into oth water strk wall causing oth injury, init
W16.832D@Jump/div into oth water strk wall causing oth injury, subs
W16.832S@Jump/div into oth water strk wall cause oth injury, sequela
W16.91XA@Jumping or diving into unsp water causing drown, init
W16.91XD@Jumping or diving into unsp water causing drown, subs
W16.91XS@Jumping or diving into unsp water causing drown, sequela
W16.92XA@Jumping or diving into unsp water causing oth injury, init
W16.92XD@Jumping or diving into unsp water causing oth injury, subs
W16.92XS@Jump/div into unsp water causing oth injury, sequela
#
W17.0XXA@Fall into well, initial encounter
W17.0XXD@Fall into well, subsequent encounter
W17.0XXS@Fall into well, sequela
W17.1XXA@Fall into storm drain or manhole, initial encounter
W17.1XXD@Fall into storm drain or manhole, subsequent encounter
W17.1XXS@Fall into storm drain or manhole, sequela
W17.2XXA@Fall into hole, initial encounter
W17.2XXD@Fall into hole, subsequent encounter
W17.2XXS@Fall into hole, sequela
W17.3XXA@Fall into empty swimming pool, initial encounter
W17.3XXD@Fall into empty swimming pool, subsequent encounter
W17.3XXS@Fall into empty swimming pool, sequela
W17.4XXA@Fall from dock, initial encounter
W17.4XXD@Fall from dock, subsequent encounter
W17.4XXS@Fall from dock, sequela
W17.81XA@Fall down embankment (hill), initial encounter
W17.81XD@Fall down embankment (hill), subsequent encounter
W17.81XS@Fall down embankment (hill), sequela
W17.82XA@Fall from (out of) grocery cart, initial encounter
W17.82XD@Fall from (out of) grocery cart, subsequent encounter
W17.82XS@Fall from (out of) grocery cart, sequela
W17.89XA@Other fall from one level to another, initial encounter
